Title,Open Comments,Courier Service,Customs & Handling Fees,Delivery Time (Days),Description,First Created,Freight Cost (3kg),Fuel Surcharge,Last Updated,Origin,Total Estimated Cost (USD),Auto Number
Untitled Record,0,DHL Express,$15.00,2–4,,"By Udi Stryk on 5 Oct, 2024",$60,$5,"By Udi Stryk on 5 Oct, 2024",Frankfurt (Germany),$80,#001
Untitled Record,0,FedEx Express,$15.00,2–3,,"By Udi Stryk on 5 Oct, 2024",$65,$5,"By Udi Stryk on 5 Oct, 2024",Frankfurt (Germany),$85,#002
Untitled Record,0,UPS Express,$15.00,2–4,,"By Udi Stryk on 5 Oct, 2024",$58,$5,"By Udi Stryk on 5 Oct, 2024",Frankfurt (Germany),$78,#003
Untitled Record,0,TNT Express,$15.00,3–5,,"By Udi Stryk on 5 Oct, 2024",$55,$5,"By Udi Stryk on 5 Oct, 2024",Frankfurt (Germany),$75,#004
Untitled Record,0,DHL Express,$15.00,2–4,,"By Udi Stryk on 5 Oct, 2024",$63,$5,"By Udi Stryk on 5 Oct, 2024",Amsterdam (Netherlands),$83,#005
Untitled Record,0,FedEx Express,$15.00,2–3,,"By Udi Stryk on 5 Oct, 2024",$68,$5,"By Udi Stryk on 5 Oct, 2024",Amsterdam (Netherlands),$88,#006
Untitled Record,0,UPS Express,$15.00,2–4,,"By Udi Stryk on 5 Oct, 2024",$60,$5,"By Udi Stryk on 5 Oct, 2024",Paris (France),$80,#007
Untitled Record,0,TNT Express,$15,2–5,,"By Udi Stryk on 5 Oct, 2024",$57,$5,"By Udi Stryk on 5 Oct, 2024",Brussels (Belgium),$77,#008
Untitled Record,0,DHL Express,$15,2–4,,"By Udi Stryk on 5 Oct, 2024",$70,$5,"By Udi Stryk on 5 Oct, 2024",London (UK),$90,#009
Untitled Record,0,UPS Express,$15,2–4,,"By Udi Stryk on 5 Oct, 2024",$65,$5,"By Udi Stryk on 5 Oct, 2024",Warsaw (Poland),$85,#010
Untitled Record,0,FedEx Express,$15,3–5,,"By Udi Stryk on 5 Oct, 2024",$80,$5,"By Udi Stryk on 5 Oct, 2024",New York (USA),$100,#011
Untitled Record,0,UPS Express,$15,3–6,,"By Udi Stryk on 5 Oct, 2024",$85,$5,"By Udi Stryk on 5 Oct, 2024",Los Angeles (USA),$105,#012
Untitled Record,0,DHL Express,$15,3–6,,"By Udi Stryk on 5 Oct, 2024",$78,$5,"By Udi Stryk on 5 Oct, 2024",Toronto (Canada),$98,#013
Untitled Record,0,FedEx Express,$15,4–6,,"By Udi Stryk on 5 Oct, 2024",$85,$5,"By Udi Stryk on 5 Oct, 2024",Vancouver (Canada),$105,#014
Untitled Record,0,DHL Express,$15,4–7,,"By Udi Stryk on 5 Oct, 2024",$75,$5,"By Udi Stryk on 5 Oct, 2024",Mumbai (India),$95,#015
Untitled Record,0,FedEx Express,$15,4–7,,"By Udi Stryk on 5 Oct, 2024",$80,$5,"By Udi Stryk on 5 Oct, 2024",Mumbai (India),$100,#016
Untitled Record,0,UPS Express,$15,5–7,,"By Udi Stryk on 5 Oct, 2024",$85,$5,"By Udi Stryk on 5 Oct, 2024",Buenos Aires (Argentina),$105,#017
Untitled Record,0,FedEx Express,$15,5–7,,"By Udi Stryk on 5 Oct, 2024",$88,$5,"By Udi Stryk on 5 Oct, 2024",Sao Paulo (Brazil),$108,#018
